#Rules created by Clement Jonquet and Mehdi Mirzapour

@CONCEPT_FEATURES|Concept|Negation|Certainty|Temporality|Experiencer

@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
semblait|forward|trigger|uncertain|30
est negatif|backward|trigger|negated|10
est null|backward|trigger|negated|10
sont negatifs|backward|trigger|negated|10
sont nulls|backward|trigger|negated|10
n'est plus|backward|trigger|negated|10
ne sont plus|backward|trigger|negated|10
est exclu|backward|trigger|negated|10
est exclue|backward|trigger|negated|10
sont exclus|backward|trigger|negated|10
sont exclues|backward|trigger|negated|10
sont arretes|backward|trigger|negated|10
sont stoppes|backward|trigger|negated|10
sont enrayes|backward|trigger|negated|10
sont contenus|backward|trigger|negated|10
sont suspendus|backward|trigger|negated|10
sont jugules|backward|trigger|negated|10
sont termines|backward|trigger|negated|10
sont immobilises|backward|trigger|negated|10
sont finis|backward|trigger|negated|10
sont endiges|backward|trigger|negated|10
ont cesses|backward|trigger|negated|10
sont geles|backward|trigger|negated|10
sont coupes|backward|trigger|negated|10
sont arretees|backward|trigger|negated|10
sont stoppees|backward|trigger|negated|10
sont enrayees|backward|trigger|negated|10
sont contenues|backward|trigger|negated|10
sont suspendues|backward|trigger|negated|10
sont jugulees|backward|trigger|negated|10
sont terminees|backward|trigger|negated|10
sont immobilisees|backward|trigger|negated|10
sont finies|backward|trigger|negated|10
sont endigees|backward|trigger|negated|10
ont cessees|backward|trigger|negated|10
sont gelees|backward|trigger|negated|10
sont coupees|backward|trigger|negated|10
est arrete|backward|trigger|negated|10
est stoppe|backward|trigger|negated|10
est enraye|backward|trigger|negated|10
est contenu|backward|trigger|negated|10
est suspendu|backward|trigger|negated|10
est jugule|backward|trigger|negated|10
est termine|backward|trigger|negated|10
est immobilise|backward|trigger|negated|10
est fini|backward|trigger|negated|10
est endige|backward|trigger|negated|10
a cesse|backward|trigger|negated|10
est gele|backward|trigger|negated|10
est coupe|backward|trigger|negated|10
est arretee|backward|trigger|negated|10
est stoppee|backward|trigger|negated|10
est enrayee|backward|trigger|negated|10
est contenue|backward|trigger|negated|10
est suspendue|backward|trigger|negated|10
est jugulee|backward|trigger|negated|10
est terminee|backward|trigger|negated|10
est immobilisee|backward|trigger|negated|10
est finie|backward|trigger|negated|10
est endigee|backward|trigger|negated|10
est gelee|backward|trigger|negated|10
est coupee|backward|trigger|negated|10
origines de|forward|termination|negated|10
origines pour|forward|termination|negated|10
debuts de|forward|termination|negated|10
debuts pour|forward|termination|negated|10
commencements de|forward|termination|negated|10
commencements pour|forward|termination|negated|10
provenances de|forward|termination|negated|10
provenances pour|forward|termination|negated|10
causes de|forward|termination|negated|10
causes pour|forward|termination|negated|10
formations de|forward|termination|negated|10
formations pour|forward|termination|negated|10
bases de|forward|termination|negated|10
bases pour|forward|termination|negated|10
fondements de|forward|termination|negated|10
fondements pour|forward|termination|negated|10
predeterminants de|forward|termination|negated|10
predeterminants pour|forward|termination|negated|10
raisons de|forward|termination|negated|10
raisons pour|forward|termination|negated|10
departs de|forward|termination|negated|10
departs pour|forward|termination|negated|10
etiologies de|forward|termination|negated|10
etiologies pour|forward|termination|negated|10
causalites de|forward|termination|negated|10
causalites pour|forward|termination|negated|10
sources de|forward|termination|negated|10
sources pour|forward|termination|negated|10
point de departs de|forward|termination|negated|10
point de departs pour|forward|termination|negated|10
pretextes de|forward|termination|negated|10
pretextes pour|forward|termination|negated|10
declencheurs de|forward|termination|negated|10
declencheurs pour|forward|termination|negated|10
mobiles de|forward|termination|negated|10
mobiles pour|forward|termination|negated|10
explications de|forward|termination|negated|10
explications pour|forward|termination|negated|10
comme l'origine de|forward|termination|negated|10
comme l'origine pour|forward|termination|negated|10
comme le debut de|forward|termination|negated|10
comme le debut pour|forward|termination|negated|10
comme le commencement de|forward|termination|negated|10
comme le commencement pour|forward|termination|negated|10
comme la provenance de|forward|termination|negated|10
comme la provenance pour|forward|termination|negated|10
comme la cause de|forward|termination|negated|10
comme la cause pour|forward|termination|negated|10
comme la formation de|forward|termination|negated|10
comme la formation pour|forward|termination|negated|10
comme la base de|forward|termination|negated|10
comme la base pour|forward|termination|negated|10
comme le fondement de|forward|termination|negated|10
comme le fondement pour|forward|termination|negated|10
comme le predeterminant de|forward|termination|negated|10
comme le predeterminant pour|forward|termination|negated|10
comme la raison de|forward|termination|negated|10
comme la raison pour|forward|termination|negated|10
comme le depart de|forward|termination|negated|10
comme le depart pour|forward|termination|negated|10
comme l'etiologie de|forward|termination|negated|10
comme l'etiologie pour|forward|termination|negated|10
comme la causalite de|forward|termination|negated|10
comme la causalite pour|forward|termination|negated|10
comme la source de|forward|termination|negated|10
comme la source pour|forward|termination|negated|10
comme le point de depart de|forward|termination|negated|10
comme le point de depart pour|forward|termination|negated|10
comme le pretexte de|forward|termination|negated|10
comme le pretexte pour|forward|termination|negated|10
comme le declencheur de|forward|termination|negated|10
comme le declencheur pour|forward|termination|negated|10
comme le mobile de|forward|termination|negated|10
comme le mobile pour|forward|termination|negated|10
comme l'explication de|forward|termination|negated|10
comme l'explication pour|forward|termination|negated|10
comme une origine de|forward|termination|negated|10
comme une origine pour|forward|termination|negated|10
comme un debut de|forward|termination|negated|10
comme un debut pour|forward|termination|negated|10
comme un commencement de|forward|termination|negated|10
comme un commencement pour|forward|termination|negated|10
comme une provenance de|forward|termination|negated|10
comme une provenance pour|forward|termination|negated|10
comme une cause de|forward|termination|negated|10
comme une cause pour|forward|termination|negated|10
comme une formation de|forward|termination|negated|10
comme une formation pour|forward|termination|negated|10
comme une base de|forward|termination|negated|10
comme une base pour|forward|termination|negated|10
comme un fondement de|forward|termination|negated|10
comme un fondement pour|forward|termination|negated|10
comme un predeterminant de|forward|termination|negated|10
comme un predeterminant pour|forward|termination|negated|10
comme une raison de|forward|termination|negated|10
comme une raison pour|forward|termination|negated|10
comme un depart de|forward|termination|negated|10
comme un depart pour|forward|termination|negated|10
comme une etiologie de|forward|termination|negated|10
comme une etiologie pour|forward|termination|negated|10
comme une causalite de|forward|termination|negated|10
comme une causalite pour|forward|termination|negated|10
comme une source de|forward|termination|negated|10
comme une source pour|forward|termination|negated|10
comme un point de depart de|forward|termination|negated|10
comme un point de depart pour|forward|termination|negated|10
comme un pretexte de|forward|termination|negated|10
comme un pretexte pour|forward|termination|negated|10
comme un declencheur de|forward|termination|negated|10
comme un declencheur pour|forward|termination|negated|10
comme un mobile de|forward|termination|negated|10
comme un mobile pour|forward|termination|negated|10
comme une explication de|forward|termination|negated|10
comme une explication pour|forward|termination|negated|10
comme pour|forward|termination|negated|10
comme pourquoi|forward|termination|negated|10
comme origine \w+ de|forward|termination|negated|10
comme origine \w+ pour|forward|termination|negated|10
comme debut \w+ de|forward|termination|negated|10
comme debut \w+ pour|forward|termination|negated|10
comme commencement \w+ de|forward|termination|negated|10
comme commencement \w+ pour|forward|termination|negated|10
comme provenance \w+ de|forward|termination|negated|10
comme provenance \w+ pour|forward|termination|negated|10
comme cause \w+ de|forward|termination|negated|10
comme cause \w+ pour|forward|termination|negated|10
comme formation \w+ de|forward|termination|negated|10
comme formation \w+ pour|forward|termination|negated|10
comme base \w+ de|forward|termination|negated|10
comme base \w+ pour|forward|termination|negated|10
comme fondement \w+ de|forward|termination|negated|10
comme fondement \w+ pour|forward|termination|negated|10
comme predeterminant \w+ de|forward|termination|negated|10
comme predeterminant \w+ pour|forward|termination|negated|10
comme raison \w+ de|forward|termination|negated|10
comme raison \w+ pour|forward|termination|negated|10
comme depart \w+ de|forward|termination|negated|10
comme depart \w+ pour|forward|termination|negated|10
comme etiologie \w+ de|forward|termination|negated|10
comme etiologie \w+ pour|forward|termination|negated|10
comme causalite \w+ de|forward|termination|negated|10
comme causalite \w+ pour|forward|termination|negated|10
comme source \w+ de|forward|termination|negated|10
comme source \w+ pour|forward|termination|negated|10
comme point de depart \w+ de|forward|termination|negated|10
comme point de depart \w+ pour|forward|termination|negated|10
comme pretexte \w+ de|forward|termination|negated|10
comme pretexte \w+ pour|forward|termination|negated|10
comme declencheur \w+ de|forward|termination|negated|10
comme declencheur \w+ pour|forward|termination|negated|10
comme mobile \w+ de|forward|termination|negated|10
comme mobile \w+ pour|forward|termination|negated|10
comme explication \w+ de|forward|termination|negated|10
comme explication \w+ pour|forward|termination|negated|10
comme \w+ de|forward|termination|negated|10
comme \w+ pour|forward|termination|negated|10
comme l'|forward|termination|negated|10
comme le|forward|termination|negated|10
comme la|forward|termination|negated|10
comme un|forward|termination|negated|10
comme une|forward|termination|negated|10
comme requis|forward|trigger|conditional|30
comme necessaire|forward|trigger|conditional|30
comme prescrit|forward|trigger|conditional|30
comme demande|forward|trigger|conditional|30
comme reclame|forward|trigger|conditional|30
comme souhaitable|forward|trigger|conditional|30
comme sollicite|forward|trigger|conditional|30
comme commande|forward|trigger|conditional|30
comme necessite|forward|trigger|conditional|30
comme souhaite|forward|trigger|conditional|30
comme enjoint|forward|trigger|conditional|30
tel que requis|forward|trigger|conditional|30
tel que necessaire|forward|trigger|conditional|30
tel que prescrit|forward|trigger|conditional|30
tel que demande|forward|trigger|conditional|30
tel que reclame|forward|trigger|conditional|30
tel que souhaitable|forward|trigger|conditional|30
tel que sollicite|forward|trigger|conditional|30
tel que commande|forward|trigger|conditional|30
tel que necessite|forward|trigger|conditional|30
tel que souhaite|forward|trigger|conditional|30
tel que enjoint|forward|trigger|conditional|30
ainsi que tout|forward|trigger|negated|10
ainsi que tous|forward|trigger|negated|10
ainsi que toute|forward|trigger|negated|10
ainsi que toutes|forward|trigger|negated|10
a part|forward|termination|negated|10
a l'exception|forward|termination|negated|10
comme|both|pseudo|uncertain|30
ainsi|both|pseudo|uncertain|30
en ce moment|both|pseudo|uncertain|30
en ce jour|both|pseudo|uncertain|30
en ce temps|both|pseudo|uncertain|30
en ce stage|both|pseudo|uncertain|30
en ce stade|both|pseudo|uncertain|30
a ce moment|both|pseudo|uncertain|30
a ce jour|both|pseudo|uncertain|30
a ce temps|both|pseudo|uncertain|30
a ce stage|both|pseudo|uncertain|30
a ce stade|both|pseudo|uncertain|30
en cet episode|both|pseudo|uncertain|30
a cet episode|both|pseudo|uncertain|30
en cette saison|both|pseudo|uncertain|30
en cette epoque|both|pseudo|uncertain|30
en cette phase|both|pseudo|uncertain|30
en cette plage de temps|both|pseudo|uncertain|30
a cette saison|both|pseudo|uncertain|30
a cette epoque|both|pseudo|uncertain|30
a cette phase|both|pseudo|uncertain|30
a cette plage de temps|both|pseudo|uncertain|30
pendant que|both|pseudo|uncertain|30
tente|both|termination|historical|30
tente|both|termination|nonpatient|30
experimente|both|termination|historical|30
experimente|both|termination|nonpatient|30
risque|both|termination|historical|30
risque|both|termination|nonpatient|30
cherche|both|termination|historical|30
cherche|both|termination|nonpatient|30
entrepris|both|termination|historical|30
entrepris|both|termination|nonpatient|30
ose|both|termination|historical|30
ose|both|termination|nonpatient|30
hasarde|both|termination|historical|30
hasarde|both|termination|nonpatient|30
tentative|both|termination|historical|30
tentative|both|termination|nonpatient|30
experience|both|termination|historical|30
experience|both|termination|nonpatient|30
experimentation|both|termination|historical|30
experimentation|both|termination|nonpatient|30
par la famille|both|termination|nonpatient|30
par \w+ famille|both|termination|nonpatient|30
parent a rapporte|both|termination|nonpatient|30
parent a rapporte|both|termination|historical|30
parent a rapporte|both|termination|nonpatient|30
parent a appele|both|termination|nonpatient|30
parent a appele|both|termination|historical|30
parent a appele|both|termination|nonpatient|30
parent a dit|both|termination|nonpatient|30
parent a dit|both|termination|historical|30
parent a dit|both|termination|nonpatient|30
parent a declare|both|termination|nonpatient|30
parent a declare|both|termination|historical|30
parent a declare|both|termination|nonpatient|30
parent a trouve|both|termination|nonpatient|30
parent a trouve|both|termination|historical|30
parent a trouve|both|termination|nonpatient|30
parent a signale|both|termination|nonpatient|30
parent a signale|both|termination|historical|30
parent a signale|both|termination|nonpatient|30
parent a sollicite|both|termination|nonpatient|30
parent a sollicite|both|termination|historical|30
parent a sollicite|both|termination|nonpatient|30
parent a requeri|both|termination|nonpatient|30
parent a requeri|both|termination|historical|30
parent a requeri|both|termination|nonpatient|30
parent a telephone|both|termination|nonpatient|30
parent a telephone|both|termination|historical|30
parent a telephone|both|termination|nonpatient|30
parent a averti|both|termination|nonpatient|30
parent a averti|both|termination|historical|30
parent a averti|both|termination|nonpatient|30
parent a prevenu|both|termination|nonpatient|30
parent a prevenu|both|termination|historical|30
parent a prevenu|both|termination|nonpatient|30
parent a alerte|both|termination|nonpatient|30
parent a alerte|both|termination|historical|30
parent a alerte|both|termination|nonpatient|30
parents ont rapporte|both|termination|nonpatient|30
parents ont rapporte|both|termination|historical|30
parents ont rapporte|both|termination|nonpatient|30
parents ont appele|both|termination|nonpatient|30
parents ont appele|both|termination|historical|30
parents ont appele|both|termination|nonpatient|30
parents ont dit|both|termination|nonpatient|30
parents ont dit|both|termination|historical|30
parents ont dit|both|termination|nonpatient|30
parents ont declare|both|termination|nonpatient|30
parents ont declare|both|termination|historical|30
parents ont declare|both|termination|nonpatient|30
parents ont trouve|both|termination|nonpatient|30
parents ont trouve|both|termination|historical|30
parents ont trouve|both|termination|nonpatient|30
parents ont signale|both|termination|nonpatient|30
parents ont signale|both|termination|historical|30
parents ont signale|both|termination|nonpatient|30
parents ont sollicite|both|termination|nonpatient|30
parents ont sollicite|both|termination|historical|30
parents ont sollicite|both|termination|nonpatient|30
parents ont requeri|both|termination|nonpatient|30
parents ont requeri|both|termination|historical|30
parents ont requeri|both|termination|nonpatient|30
parents ont telephone|both|termination|nonpatient|30
parents ont telephone|both|termination|historical|30
parents ont telephone|both|termination|nonpatient|30
parents ont averti|both|termination|nonpatient|30
parents ont averti|both|termination|historical|30
parents ont averti|both|termination|nonpatient|30
parents ont prevenu|both|termination|nonpatient|30
parents ont prevenu|both|termination|historical|30
parents ont prevenu|both|termination|nonpatient|30
parents ont alerte|both|termination|nonpatient|30
parents ont alerte|both|termination|historical|30
parents ont alerte|both|termination|nonpatient|30
pere a rapporte|both|termination|nonpatient|30
pere a rapporte|both|termination|historical|30
pere a rapporte|both|termination|nonpatient|30
pere a appele|both|termination|nonpatient|30
pere a appele|both|termination|historical|30
pere a appele|both|termination|nonpatient|30
pere a dit|both|termination|nonpatient|30
pere a dit|both|termination|historical|30
pere a dit|both|termination|nonpatient|30
pere a declare|both|termination|nonpatient|30
pere a declare|both|termination|historical|30
pere a declare|both|termination|nonpatient|30
pere a trouve|both|termination|nonpatient|30
pere a trouve|both|termination|historical|30
pere a trouve|both|termination|nonpatient|30
pere a signale|both|termination|nonpatient|30
pere a signale|both|termination|historical|30
pere a signale|both|termination|nonpatient|30
pere a sollicite|both|termination|nonpatient|30
pere a sollicite|both|termination|historical|30
pere a sollicite|both|termination|nonpatient|30
pere a requeri|both|termination|nonpatient|30
pere a requeri|both|termination|historical|30
pere a requeri|both|termination|nonpatient|30
pere a telephone|both|termination|nonpatient|30
pere a telephone|both|termination|historical|30
pere a telephone|both|termination|nonpatient|30
pere a averti|both|termination|nonpatient|30
pere a averti|both|termination|historical|30
pere a averti|both|termination|nonpatient|30
pere a prevenu|both|termination|nonpatient|30
pere a prevenu|both|termination|historical|30
pere a prevenu|both|termination|nonpatient|30
pere a alerte|both|termination|nonpatient|30
pere a alerte|both|termination|historical|30
pere a alerte|both|termination|nonpatient|30
beau-pere a rapporte|both|termination|nonpatient|30
beau-pere a rapporte|both|termination|historical|30
beau-pere a rapporte|both|termination|nonpatient|30
beau-pere a appele|both|termination|nonpatient|30
beau-pere a appele|both|termination|historical|30
beau-pere a appele|both|termination|nonpatient|30
beau-pere a dit|both|termination|nonpatient|30
beau-pere a dit|both|termination|historical|30
beau-pere a dit|both|termination|nonpatient|30
beau-pere a declare|both|termination|nonpatient|30
beau-pere a declare|both|termination|historical|30
beau-pere a declare|both|termination|nonpatient|30
beau-pere a trouve|both|termination|nonpatient|30
beau-pere a trouve|both|termination|historical|30
beau-pere a trouve|both|termination|nonpatient|30
beau-pere a signale|both|termination|nonpatient|30
beau-pere a signale|both|termination|historical|30
beau-pere a signale|both|termination|nonpatient|30
beau-pere a sollicite|both|termination|nonpatient|30
beau-pere a sollicite|both|termination|historical|30
beau-pere a sollicite|both|termination|nonpatient|30
beau-pere a requeri|both|termination|nonpatient|30
beau-pere a requeri|both|termination|historical|30
beau-pere a requeri|both|termination|nonpatient|30
beau-pere a telephone|both|termination|nonpatient|30
beau-pere a telephone|both|termination|historical|30
beau-pere a telephone|both|termination|nonpatient|30
beau-pere a averti|both|termination|nonpatient|30
beau-pere a averti|both|termination|historical|30
beau-pere a averti|both|termination|nonpatient|30
beau-pere a prevenu|both|termination|nonpatient|30
beau-pere a prevenu|both|termination|historical|30
beau-pere a prevenu|both|termination|nonpatient|30
beau-pere a alerte|both|termination|nonpatient|30
beau-pere a alerte|both|termination|historical|30
beau-pere a alerte|both|termination|nonpatient|30
mere a rapporte|both|termination|nonpatient|30
mere a rapporte|both|termination|historical|30
mere a rapporte|both|termination|nonpatient|30
mere a appele|both|termination|nonpatient|30
mere a appele|both|termination|historical|30
mere a appele|both|termination|nonpatient|30
mere a dit|both|termination|nonpatient|30
mere a dit|both|termination|historical|30
mere a dit|both|termination|nonpatient|30
mere a declare|both|termination|nonpatient|30
mere a declare|both|termination|historical|30
mere a declare|both|termination|nonpatient|30
mere a trouve|both|termination|nonpatient|30
mere a trouve|both|termination|historical|30
mere a trouve|both|termination|nonpatient|30
mere a signale|both|termination|nonpatient|30
mere a signale|both|termination|historical|30
mere a signale|both|termination|nonpatient|30
mere a sollicite|both|termination|nonpatient|30
mere a sollicite|both|termination|historical|30
mere a sollicite|both|termination|nonpatient|30
mere a requeri|both|termination|nonpatient|30
mere a requeri|both|termination|historical|30
mere a requeri|both|termination|nonpatient|30
mere a telephone|both|termination|nonpatient|30
mere a telephone|both|termination|historical|30
mere a telephone|both|termination|nonpatient|30
mere a averti|both|termination|nonpatient|30
mere a averti|both|termination|historical|30
mere a averti|both|termination|nonpatient|30
mere a prevenu|both|termination|nonpatient|30
mere a prevenu|both|termination|historical|30
mere a prevenu|both|termination|nonpatient|30
mere a alerte|both|termination|nonpatient|30
mere a alerte|both|termination|historical|30
mere a alerte|both|termination|nonpatient|30
belle-mere a rapporte|both|termination|nonpatient|30
belle-mere a rapporte|both|termination|historical|30
belle-mere a rapporte|both|termination|nonpatient|30
belle-mere a appele|both|termination|nonpatient|30
belle-mere a appele|both|termination|historical|30
belle-mere a appele|both|termination|nonpatient|30
belle-mere a dit|both|termination|nonpatient|30
belle-mere a dit|both|termination|historical|30
belle-mere a dit|both|termination|nonpatient|30
belle-mere a declare|both|termination|nonpatient|30
belle-mere a declare|both|termination|historical|30
belle-mere a declare|both|termination|nonpatient|30
belle-mere a trouve|both|termination|nonpatient|30
belle-mere a trouve|both|termination|historical|30
belle-mere a trouve|both|termination|nonpatient|30
belle-mere a signale|both|termination|nonpatient|30
belle-mere a signale|both|termination|historical|30
belle-mere a signale|both|termination|nonpatient|30
belle-mere a sollicite|both|termination|nonpatient|30
belle-mere a sollicite|both|termination|historical|30
belle-mere a sollicite|both|termination|nonpatient|30
belle-mere a requeri|both|termination|nonpatient|30
belle-mere a requeri|both|termination|historical|30
belle-mere a requeri|both|termination|nonpatient|30
belle-mere a telephone|both|termination|nonpatient|30
belle-mere a telephone|both|termination|historical|30
belle-mere a telephone|both|termination|nonpatient|30
belle-mere a averti|both|termination|nonpatient|30
belle-mere a averti|both|termination|historical|30
belle-mere a averti|both|termination|nonpatient|30
belle-mere a prevenu|both|termination|nonpatient|30
belle-mere a prevenu|both|termination|historical|30
belle-mere a prevenu|both|termination|nonpatient|30
belle-mere a alerte|both|termination|nonpatient|30
belle-mere a alerte|both|termination|historical|30
belle-mere a alerte|both|termination|nonpatient|30
papa a rapporte|both|termination|nonpatient|30
papa a rapporte|both|termination|historical|30
papa a rapporte|both|termination|nonpatient|30
papa a appele|both|termination|nonpatient|30
papa a appele|both|termination|historical|30
papa a appele|both|termination|nonpatient|30
papa a dit|both|termination|nonpatient|30
papa a dit|both|termination|historical|30
papa a dit|both|termination|nonpatient|30
papa a declare|both|termination|nonpatient|30
papa a declare|both|termination|historical|30
papa a declare|both|termination|nonpatient|30
papa a trouve|both|termination|nonpatient|30
papa a trouve|both|termination|historical|30
papa a trouve|both|termination|nonpatient|30
papa a signale|both|termination|nonpatient|30
papa a signale|both|termination|historical|30
papa a signale|both|termination|nonpatient|30
papa a sollicite|both|termination|nonpatient|30
parent|forward|trigger|nonpatient|30
parents|forward|trigger|nonpatient|30
pere|forward|trigger|nonpatient|30
beau-pere|forward|trigger|nonpatient|30
mere|forward|trigger|nonpatient|30
belle-mere|forward|trigger|nonpatient|30
papa|forward|trigger|nonpatient|30
maman|forward|trigger|nonpatient|30
fils|forward|trigger|nonpatient|30
beau-fils|forward|trigger|nonpatient|30
garçon|forward|trigger|nonpatient|30
garçons|forward|trigger|nonpatient|30
fille|forward|trigger|nonpatient|30
belle-fille|forward|trigger|nonpatient|30
filles|forward|trigger|nonpatient|30
freres|forward|trigger|nonpatient|30
soeur|forward|trigger|nonpatient|30
soeurs|forward|trigger|nonpatient|30
sœur|forward|trigger|nonpatient|30
sœurs|forward|trigger|nonpatient|30
fratrie|forward|trigger|nonpatient|30
oncle|forward|trigger|nonpatient|30
tonton|forward|trigger|nonpatient|30
oncles|forward|trigger|nonpatient|30
tata|forward|trigger|nonpatient|30
tantes|forward|trigger|nonpatient|30
grand-mere|forward|trigger|nonpatient|30
grand-pere|forward|trigger|nonpatient|30
cousin|forward|trigger|nonpatient|30
cousins|forward|trigger|nonpatient|30
colocataire|forward|trigger|nonpatient|30
colocataires|forward|trigger|nonpatient|30
voisin|forward|trigger|nonpatient|30
voisins|forward|trigger|nonpatient|30
histoire sociale|both|pseudo|historical|30
etre exclu pour|forward|trigger|uncertain|30
etre exclus pour|forward|trigger|uncertain|30
etre exclue pour|forward|trigger|uncertain|30
etre exclues pour|forward|trigger|uncertain|30
etre repousse pour|forward|trigger|uncertain|30
etre repousses pour|forward|trigger|uncertain|30
etre repoussee pour|forward|trigger|uncertain|30
etre repoussees pour|forward|trigger|uncertain|30
etre rejete pour|forward|trigger|uncertain|30
etre rejetes pour|forward|trigger|uncertain|30
etre rejetee pour|forward|trigger|uncertain|30
etre rejetees pour|forward|trigger|uncertain|30
etre elimine pour|forward|trigger|uncertain|30
etre elimines pour|forward|trigger|uncertain|30
etre eliminee pour|forward|trigger|uncertain|30
etre eliminees pour|forward|trigger|uncertain|30
etre proscrit pour|forward|trigger|uncertain|30
etre proscrits pour|forward|trigger|uncertain|30
etre proscrite pour|forward|trigger|uncertain|30
etre proscrites pour|forward|trigger|uncertain|30
ete exclu|backward|trigger|uncertain|30
ete exclus|backward|trigger|uncertain|30
ete exclue|backward|trigger|uncertain|30
ete exclues|backward|trigger|uncertain|30
ete repousse|backward|trigger|uncertain|30
ete repousses|backward|trigger|uncertain|30
ete repoussee|backward|trigger|uncertain|30
ete repoussees|backward|trigger|uncertain|30
ete rejete|backward|trigger|uncertain|30
ete rejetes|backward|trigger|uncertain|30
ete rejetee|backward|trigger|uncertain|30
ete rejetees|backward|trigger|uncertain|30
ete elimine|backward|trigger|uncertain|30
ete elimines|backward|trigger|uncertain|30
ete eliminee|backward|trigger|uncertain|30
ete eliminees|backward|trigger|uncertain|30
ete proscrit|backward|trigger|uncertain|30
ete proscrits|backward|trigger|uncertain|30
ete proscrite|backward|trigger|uncertain|30
ete proscrites|backward|trigger|uncertain|30
etre arrete|backward|trigger|negated|10
etre arrete|forward|termination|negated|10
etre arretes|backward|trigger|negated|10
etre arretes|forward|termination|negated|10
etre arretee|backward|trigger|negated|10
etre arretee|forward|termination|negated|10
etre arretees|backward|trigger|negated|10
etre arretees|forward|termination|negated|10
etre stoppe|backward|trigger|negated|10
etre stoppe|forward|termination|negated|10
etre stoppes|backward|trigger|negated|10
etre stoppes|forward|termination|negated|10
etre stoppee|backward|trigger|negated|10
etre stoppee|forward|termination|negated|10
etre stoppees|backward|trigger|negated|10
etre stoppees|forward|termination|negated|10
etre suspendu|backward|trigger|negated|10
etre suspendu|forward|termination|negated|10
etre suspendus|backward|trigger|negated|10
etre suspendus|forward|termination|negated|10
etre suspendue|backward|trigger|negated|10
etre suspendue|forward|termination|negated|10
etre suspendues|backward|trigger|negated|10
etre suspendues|forward|termination|negated|10
etre termine|backward|trigger|negated|10
etre termine|forward|termination|negated|10
etre termines|backward|trigger|negated|10
etre termines|forward|termination|negated|10
etre terminee|backward|trigger|negated|10
etre terminee|forward|termination|negated|10
etre terminees|backward|trigger|negated|10
etre terminees|forward|termination|negated|10
etre fini|backward|trigger|negated|10
etre fini|forward|termination|negated|10
etre finis|backward|trigger|negated|10
etre finis|forward|termination|negated|10
etre finie|backward|trigger|negated|10
etre finie|forward|termination|negated|10
etre finies|backward|trigger|negated|10
etre finies|forward|termination|negated|10
etre endigue|backward|trigger|negated|10
etre endigue|forward|termination|negated|10
etre endigues|backward|trigger|negated|10
etre endigues|forward|termination|negated|10
etre endiguee|backward|trigger|negated|10
etre endiguee|forward|termination|negated|10
etre endiguees|backward|trigger|negated|10
etre endiguees|forward|termination|negated|10
etre cesse|backward|trigger|negated|10
etre cesse|forward|termination|negated|10
etre cesses|backward|trigger|negated|10
etre cesses|forward|termination|negated|10
etre cessee|backward|trigger|negated|10
etre cessee|forward|termination|negated|10
etre cessees|backward|trigger|negated|10
etre cessees|forward|termination|negated|10
etre interrompu|backward|trigger|negated|10
etre interrompu|forward|termination|negated|10
etre interrompus|backward|trigger|negated|10
etre interrompus|forward|termination|negated|10
etre interrompue|backward|trigger|negated|10
etre interrompue|forward|termination|negated|10
etre interrompues|backward|trigger|negated|10
etre interrompues|forward|termination|negated|10
etre gele|backward|trigger|negated|10
etre gele|forward|termination|negated|10
etre geles|backward|trigger|negated|10
etre geles|forward|termination|negated|10
etre gelee|backward|trigger|negated|10
etre gelee|forward|termination|negated|10
etre gelees|backward|trigger|negated|10
etre gelees|forward|termination|negated|10
est arrete|backward|trigger|negated|10
est arretee|backward|trigger|negated|10
est stoppe|backward|trigger|negated|10
est stoppee|backward|trigger|negated|10
est suspendu|backward|trigger|negated|10
est suspendue|backward|trigger|negated|10
est termine|backward|trigger|negated|10
est terminee|backward|trigger|negated|10
est fini|backward|trigger|negated|10
est finie|backward|trigger|negated|10
est endigue|backward|trigger|negated|10
est endiguee|backward|trigger|negated|10
est cesse|backward|trigger|negated|10
est cessee|backward|trigger|negated|10
est interrompu|backward|trigger|negated|10
est interrompue|backward|trigger|negated|10
est gele|backward|trigger|negated|10
est gelee|backward|trigger|negated|10
est arretee|backward|trigger|negated|10
est arreteee|backward|trigger|negated|10
est stoppee|backward|trigger|negated|10
est stoppeee|backward|trigger|negated|10
est suspendue|backward|trigger|negated|10
est suspenduee|backward|trigger|negated|10
est terminee|backward|trigger|negated|10
est termineee|backward|trigger|negated|10
est finie|backward|trigger|negated|10
est finiee|backward|trigger|negated|10
est endiguee|backward|trigger|negated|10
est endigueee|backward|trigger|negated|10
est cessee|backward|trigger|negated|10
est cesseee|backward|trigger|negated|10
est interrompue|backward|trigger|negated|10
est interrompuee|backward|trigger|negated|10
est gelee|backward|trigger|negated|10
est geleee|backward|trigger|negated|10
sont arretess|backward|trigger|negated|10
sont arreteses|backward|trigger|negated|10
sont stoppess|backward|trigger|negated|10
sont stoppeses|backward|trigger|negated|10
sont suspenduss|backward|trigger|negated|10
sont suspenduses|backward|trigger|negated|10
sont terminess|backward|trigger|negated|10
sont termineses|backward|trigger|negated|10
sont finiss|backward|trigger|negated|10
sont finises|backward|trigger|negated|10
sont endiguess|backward|trigger|negated|10
sont endigueses|backward|trigger|negated|10
